"sn","id","name_ch","name_en","provider","provider_branch","game_id","search_key","data_tree","game_type","data_path","desc","btn_spin","dump_ref_tree","dump_search_key","default_dump_seed"
1,1,"金錢兔","fortune-rabbit","PGSOFT",1,1543462,"pg_fr_v2_0001","[{""provider Company"": {""PGSOFT"": {""URL"": [""https://m.pgsoft-games.com/""], ""searchKey"": ""fr_1_1543462_v2""}}}, {""gameResponse"": [{""host"": [""static.pgsoft-games.com"", ""api.pgsoft-games.com""], ""authData"": {""errKey"": ""err"", ""dataKey"": ""dt"", ""gameIDKey"": ""dt.gm[0].gid""}, ""spinData"": {""ab"": ""dt.si.ab"", ""aw"": ""dt.si.aw"", ""fb"": ""dt.si.fb"", ""ge"": ""dt.si.ge"", ""mr"": ""dt.si.mr"", ""pf"": ""dt.si.pf"", ""st"": ""dt.si.st"", ""wk"": ""dt.si.wk"", ""wt"": ""dt.si.wt"", ""_ab"": ""?"", ""_aw"": ""贏得?"", ""_fb"": ""?"", ""_ge"": ""?"", ""_mr"": ""?"", ""_pf"": """", ""_st"": ""?"", ""_wk"": ""?"", ""_wt"": ""?"", ""ctw"": ""dt.si.ctw"", ""cwc"": ""dt.si.cwc"", ""gwt"": ""dt.si.gwt"", ""iff"": ""dt.si.ift"", ""imw"": ""dt.si.imw"", ""nst"": ""dt.si.nst"", ""ocr"": ""dt.si.ocr"", ""tbb"": ""dt.si.tbb"", ""wbn"": ""dt.si.wbn"", ""wfg"": ""dt.si.wfg"", ""wid"": ""dt.si.wid"", ""_ctw"": ""?"", ""_cwc"": ""?"", ""_gwp"": ""?"", ""_gwt"": ""?"", ""_iff"": ""是否有免費遊戲 boolean"", ""_ift"": ""金錢兔？ boolean"", ""_imw"": ""? boolean"", ""_nst"": ""?"", ""_ocr"": ""?"", ""_tbb"": ""?"", ""_wbn"": ""?"", ""_wfg"": ""?"", ""_wid"": ""?"", ""crtw"": ""dt.si.crtw"", ""fstc"": ""dt.si.fstc"", ""pcwc"": ""dt.si.pcwc"", ""_crtw"": ""freeGame Award?"", ""_fstc"": ""?"", ""_pcwc"": ""?"", ""hashr"": ""dt.si.hashr"", ""_hashr"": ""?"", ""maxWin"": ""dt.maxwm"", ""payout"": ""dt.si.np"", ""_maxWin"": ""最大中獎金額 int"", ""_payout"": ""派彩金額 int"", ""balance"": ""dt.bl"", ""betStep"": ""dt.cs"", ""lineWin"": ""dt.si.lw"", ""_balance"": ""餘額 int"", ""_betSteo"": ""押注大小Array<List>"", ""_lineWin"": ""中獎線Array<int lineNum:int winPay>"", ""freeGame"": ""dt.si.fs"", ""payoutID"": ""dt.si.psid"", ""totalBet"": ""dt.si.tb"", ""totalWin"": ""dt.si.tw"", ""_freeGame"": ""免費遊戲 Array<'aw':int award win,'s':int 剩餘次數,'ts':int 免費次數>"", ""_payoutID"": ""注單ID int"", ""_totalBet"": ""總下注金額 int"", ""_totalWin"": ""總中獎金額 int"", ""betNumber"": ""dt.si.cs"", ""timeStamp"": """", ""_betNumber"": ""下注金額 float"", ""_timeStamp"": ""細單紀錄時間 int "", ""balanceEnd"": ""dt.si.blab"", ""lineSymbol"": ""dt.si.wp"", ""maxBetLine"": ""dt.mxl"", ""winSymbols"": ""dt.ls.si.cpf"", ""_balanceEnd"": ""押注後餘額 int"", ""_lineSymbol"": ""中獎連線符號 Array<int:Array<List<int...>>"", ""_maxBetLine"": ""投注線 int"", ""_winSymbols"": ""中獎符號Array<array>"", ""betMultiply"": ""dt.si.ml"", ""priceSymbol"": ""dt.si.cpf"", ""_betMultiply"": ""押注倍數Array<List>"", ""_priceSymbol"": ""獎金符號, Array<int:<'p':cord<int>,'bv':<int>面額,'m':<float>>>"", ""balanceStart"": ""dt.si.blb"", ""detailListID"": ""dt.si.sid"", ""symbalPayout"": ""dt.si.rwsp"", ""_balanceStart"": ""押注前餘額 int"", ""_detailListID"": ""細單ID int"", ""_symbolPayout"": ""符號賠付值 int"", ""reelSymbolEnd"": ""dt.ls.si.rl"", ""winLineNumber"": """", ""_reelSymbolEnd"": ""reel結束符號Array<List>"", ""_winLineNumber"": ""中獎線數 int ,-1 > 無連線"", ""reelSymbolsStart"": ""dt.ls.si.orl"", ""_reelSymbolsStart"": ""reel起始符號Array<List>""}, ""searchKey"": ""PGSOFT_A00000"", ""walletURL"": [""web-api"", ""game-proxy"", ""version"", ""gamewallet"", ""get?traceid=?""], ""SpinDataURL"": [""game-api"", ""gameName"", ""version"", ""spin?traceid=?""], ""gameAuthURL"": [""web-api"", ""auth"", ""session"", ""version"", ""verifysession?traceid=?""], ""gameInfoURL"": [""game-api"", ""gameName"", ""version"", ""gameinfo"", ""get?traceid=?""], ""symbolsData"": [{""ID"": 7, ""desc"": ""紅蘿蔔"", ""payout"": 2}, {""ID"": 6, ""desc"": ""沖天炮"", ""payout"": 3}, {""ID"": 5, ""desc"": ""錢幣"", ""payout"": 5}, {""ID"": 4, ""desc"": ""紅包"", ""payout"": 10}, {""ID"": 3, ""desc"": ""寶袋"", ""payout"": 50}, {""ID"": 2, ""desc"": ""元寶"", ""payout"": 100}, {""ID"": 8, ""desc"": ""獎金"", ""payout"": 1, ""multipy"": ""面額""}, {""ID"": 0, ""desc"": ""百搭"", ""payout"": 200}, {""ID"": 99, ""desc"": ""empty"", ""payout"": 0}], ""gameProvider"": [""PGSOFT"", ""Pocket Games Soft"", ""PG 電子""], ""resourcesURL"": [""web-api"", ""game-proxy"", ""version"", ""resources"", ""getbyresourcestypeids?traceid=?""]}]}]","line game","dt","金錢兔 DEMO 版本dump","spacebar","{""ab"": ""JSONB"", ""aw"": ""FLOAT"", ""bl"": ""FLOAT"", ""cs"": ""FLOAT"", ""fb"": ""JSONB"", ""fs"": ""JSONB"", ""ge"": ""JSONB"", ""iw"": ""INT"", ""lw"": ""JSONB"", ""ml"": ""INT"", ""mr"": ""INT"", ""np"": ""FLOAT"", ""pf"": ""INT"", ""rl"": ""JSONB"", ""sn"": ""SERIAL PRIMARY KEY"", ""st"": ""INT"", ""tb"": ""INT"", ""tw"": ""FLOAT"", ""wk"": ""VARCHAR(4096)"", ""wp"": ""JSONB"", ""wt"": ""VARCHAR(4096)"", ""blb"": ""FLOAT"", ""cpf"": ""JSONB"", ""ctw"": ""FLOAT"", ""cwc"": ""INT"", ""gwt"": ""INT"", ""iff"": ""BOOL"", ""ift"": ""BOOL"", ""imw"": ""BOOL"", ""nst"": ""INT"", ""ocr"": ""INT"", ""orl"": ""JSONB"", ""pmt"": ""INT"", ""sid"": ""VARCHAR(4096)"", ""tbb"": ""INT"", ""wbn"": ""INT"", ""wfg"": ""INT"", ""wid"": ""INT"", ""blab"": ""FLOAT"", ""cptw"": ""INT"", ""crtw"": ""INT"", ""fstc"": ""JSONB"", ""pcwc"": ""INT"", ""psid"": ""VARCHAR(4096)"", ""rwsp"": ""JSONB"", ""hashr"": ""VARCHAR(4096)"", ""index"": ""INT NOT NULL"", ""dump_seed"": ""VARCHAR(4096)"", ""game_name"": ""VARCHAR(4096)"", ""timestamp"": ""TIMESTAMP DEFAULT CURRENT_TIMESTAMP"", ""full_state"": ""JSONB""}","tb_pg_fr_v2_003","pg_fr_v2_seed_00003"
2,2,"麻將胡了","mahjong-ways","PGSOFT",1,65,"pg_mw_v2_001","[{""provider Company"": {""PGSOFT"": {""URL"": [""https://m.pgsoft-games.com/""], ""searchKey"": ""fr_1_1543462_v2""}}}, {""gameResponse"": [{""host"": [""static.pgsoft-games.com"", ""api.pgsoft-games.com""], ""authData"": {""errKey"": ""err"", ""dataKey"": ""dt"", ""gameIDKey"": ""dt.gm[0].gid""}, ""spinData"": {""ab"": ""dt.si.ab"", ""aw"": ""dt.si.aw"", ""fb"": ""dt.si.fb"", ""ge"": ""dt.si.ge"", ""mr"": ""dt.si.mr"", ""pf"": ""dt.si.pf"", ""st"": ""dt.si.st"", ""wk"": ""dt.si.wk"", ""wt"": ""dt.si.wt"", ""_ab"": ""?"", ""_aw"": ""贏得?"", ""_fb"": ""?"", ""_ge"": ""?"", ""_mr"": ""?"", ""_pf"": """", ""_st"": ""?"", ""_wk"": ""?"", ""_wt"": ""?"", ""ctw"": ""dt.si.ctw"", ""cwc"": ""dt.si.cwc"", ""gwt"": ""dt.si.gwt"", ""iff"": ""dt.si.ift"", ""imw"": ""dt.si.imw"", ""nst"": ""dt.si.nst"", ""ocr"": ""dt.si.ocr"", ""tbb"": ""dt.si.tbb"", ""wbn"": ""dt.si.wbn"", ""wfg"": ""dt.si.wfg"", ""wid"": ""dt.si.wid"", ""_ctw"": ""?"", ""_cwc"": ""?"", ""_gwp"": ""?"", ""_gwt"": ""?"", ""_iff"": ""是否有免費遊戲 boolean"", ""_ift"": ""金錢兔？ boolean"", ""_imw"": ""? boolean"", ""_nst"": ""?"", ""_ocr"": ""?"", ""_tbb"": ""?"", ""_wbn"": ""?"", ""_wfg"": ""?"", ""_wid"": ""?"", ""crtw"": ""dt.si.crtw"", ""fstc"": ""dt.si.fstc"", ""pcwc"": ""dt.si.pcwc"", ""_crtw"": ""freeGame Award?"", ""_fstc"": ""?"", ""_pcwc"": ""?"", ""hashr"": ""dt.si.hashr"", ""_hashr"": ""?"", ""maxWin"": ""dt.maxwm"", ""payout"": ""dt.si.np"", ""_maxWin"": ""最大中獎金額 int"", ""_payout"": ""派彩金額 int"", ""balance"": ""dt.bl"", ""betStep"": ""dt.cs"", ""lineWin"": ""dt.si.lw"", ""_balance"": ""餘額 int"", ""_betSteo"": ""押注大小Array<List>"", ""_lineWin"": ""中獎線Array<int lineNum:int winPay>"", ""freeGame"": ""dt.si.fs"", ""payoutID"": ""dt.si.psid"", ""totalBet"": ""dt.si.tb"", ""totalWin"": ""dt.si.tw"", ""_freeGame"": ""免費遊戲 Array<'aw':int award win,'s':int 剩餘次數,'ts':int 免費次數>"", ""_payoutID"": ""注單ID int"", ""_totalBet"": ""總下注金額 int"", ""_totalWin"": ""總中獎金額 int"", ""betNumber"": ""dt.si.cs"", ""timeStamp"": """", ""_betNumber"": ""下注金額 float"", ""_timeStamp"": ""細單紀錄時間 int "", ""balanceEnd"": ""dt.si.blab"", ""lineSymbol"": ""dt.si.wp"", ""maxBetLine"": ""dt.mxl"", ""winSymbols"": ""dt.ls.si.cpf"", ""_balanceEnd"": ""押注後餘額 int"", ""_lineSymbol"": ""中獎連線符號 Array<int:Array<List<int...>>"", ""_maxBetLine"": ""投注線 int"", ""_winSymbols"": ""中獎符號Array<array>"", ""betMultiply"": ""dt.si.ml"", ""priceSymbol"": ""dt.si.cpf"", ""_betMultiply"": ""押注倍數Array<List>"", ""_priceSymbol"": ""獎金符號, Array<int:<'p':cord<int>,'bv':<int>面額,'m':<float>>>"", ""balanceStart"": ""dt.si.blb"", ""detailListID"": ""dt.si.sid"", ""symbalPayout"": ""dt.si.rwsp"", ""_balanceStart"": ""押注前餘額 int"", ""_detailListID"": ""細單ID int"", ""_symbolPayout"": ""符號賠付值 int"", ""reelSymbolEnd"": ""dt.ls.si.rl"", ""winLineNumber"": """", ""_reelSymbolEnd"": ""reel結束符號Array<List>"", ""_winLineNumber"": ""中獎線數 int ,-1 > 無連線"", ""reelSymbolsStart"": ""dt.ls.si.orl"", ""_reelSymbolsStart"": ""reel起始符號Array<List>""}, ""searchKey"": ""PGSOFT_A00000"", ""walletURL"": [""web-api"", ""game-proxy"", ""version"", ""gamewallet"", ""get?traceid=?""], ""SpinDataURL"": [""game-api"", ""gameName"", ""version"", ""spin?traceid=?""], ""gameAuthURL"": [""web-api"", ""auth"", ""session"", ""version"", ""verifysession?traceid=?""], ""gameInfoURL"": [""game-api"", ""gameName"", ""version"", ""gameinfo"", ""get?traceid=?""], ""symbolsData"": [{""ID"": 7, ""desc"": ""紅蘿蔔"", ""payout"": 2}, {""ID"": 6, ""desc"": ""沖天炮"", ""payout"": 3}, {""ID"": 5, ""desc"": ""錢幣"", ""payout"": 5}, {""ID"": 4, ""desc"": ""紅包"", ""payout"": 10}, {""ID"": 3, ""desc"": ""寶袋"", ""payout"": 50}, {""ID"": 2, ""desc"": ""元寶"", ""payout"": 100}, {""ID"": 8, ""desc"": ""獎金"", ""payout"": 1, ""multipy"": ""面額""}, {""ID"": 0, ""desc"": ""百搭"", ""payout"": 200}, {""ID"": 99, ""desc"": ""empty"", ""payout"": 0}], ""gameProvider"": [""PGSOFT"", ""Pocket Games Soft"", ""PG 電子""], ""resourcesURL"": [""web-api"", ""game-proxy"", ""version"", ""resources"", ""getbyresourcestypeids?traceid=?""]}]}]","way game","dt","麻將胡了 遊戲側錄","spacebar","{""aw"": ""INT"", ""bl"": ""FLOAT"", ""cs"": ""FLOAT"", ""fb"": ""JSONB"", ""fs"": ""JSONB"", ""ge"": ""JSONB"", ""iw"": ""INT"", ""lw"": ""JSONB"", ""ml"": ""INT"", ""mr"": ""INT"", ""np"": ""INT"", ""pf"": ""INT"", ""rl"": ""JSONB"", ""sn"": ""SERIAL PRIMARY KEY"", ""st"": ""INT"", ""tb"": ""INT"", ""tw"": ""INT"", ""wk"": ""VARCHAR(4096)"", ""wp"": ""INT"", ""wt"": ""VARCHAR(4096)"", ""blb"": ""FLOAT"", ""cpf"": ""JSONB"", ""ctw"": ""INT"", ""cwc"": ""INT"", ""gwt"": ""INT"", ""iff"": ""BOOL"", ""ift"": ""BOOL"", ""imw"": ""BOOL"", ""nst"": ""INT"", ""ocr"": ""INT"", ""orl"": ""JSONB"", ""pmt"": ""INT"", ""sid"": ""VARCHAR(4096)"", ""tbb"": ""INT"", ""wbn"": ""INT"", ""wfg"": ""INT"", ""wid"": ""INT"", ""blab"": ""FLOAT"", ""cptw"": ""INT"", ""crtw"": ""INT"", ""fstc"": ""JSONB"", ""pcwc"": ""INT"", ""psid"": ""VARCHAR(4096)"", ""rwsp"": ""JSONB"", ""hashr"": ""VARCHAR(4096)"", ""index"": ""INT NOT NULL"", ""dump_seed"": ""VARCHAR(4096)"", ""game_name"": ""VARCHAR(4096)"", ""timestamp"": ""TIMESTAMP DEFAULT CURRENT_TIMESTAMP"", ""full_state"": ""JSONB""}","tb_pg_mw_v2_001","pg_mw_v2_seed_00001"
3,3,"麻將胡了 2","mahjong-ways2","PGSOFT",1,74,"pg_mw2_v2_001","[{""provider Company"": {""PGSOFT"": {""URL"": [""https://m.pgsoft-games.com/""], ""searchKey"": ""fr_1_1543462_v2""}}}, {""gameResponse"": [{""host"": [""static.pgsoft-games.com"", ""api.pgsoft-games.com""], ""authData"": {""errKey"": ""err"", ""dataKey"": ""dt"", ""gameIDKey"": ""dt.gm[0].gid""}, ""spinData"": {""ab"": ""dt.si.ab"", ""aw"": ""dt.si.aw"", ""fb"": ""dt.si.fb"", ""ge"": ""dt.si.ge"", ""mr"": ""dt.si.mr"", ""pf"": ""dt.si.pf"", ""st"": ""dt.si.st"", ""wk"": ""dt.si.wk"", ""wt"": ""dt.si.wt"", ""_ab"": ""?"", ""_aw"": ""贏得?"", ""_fb"": ""?"", ""_ge"": ""?"", ""_mr"": ""?"", ""_pf"": """", ""_st"": ""?"", ""_wk"": ""?"", ""_wt"": ""?"", ""ctw"": ""dt.si.ctw"", ""cwc"": ""dt.si.cwc"", ""gwt"": ""dt.si.gwt"", ""iff"": ""dt.si.ift"", ""imw"": ""dt.si.imw"", ""nst"": ""dt.si.nst"", ""ocr"": ""dt.si.ocr"", ""tbb"": ""dt.si.tbb"", ""wbn"": ""dt.si.wbn"", ""wfg"": ""dt.si.wfg"", ""wid"": ""dt.si.wid"", ""_ctw"": ""?"", ""_cwc"": ""?"", ""_gwp"": ""?"", ""_gwt"": ""?"", ""_iff"": ""是否有免費遊戲 boolean"", ""_ift"": ""金錢兔？ boolean"", ""_imw"": ""? boolean"", ""_nst"": ""?"", ""_ocr"": ""?"", ""_tbb"": ""?"", ""_wbn"": ""?"", ""_wfg"": ""?"", ""_wid"": ""?"", ""crtw"": ""dt.si.crtw"", ""fstc"": ""dt.si.fstc"", ""pcwc"": ""dt.si.pcwc"", ""_crtw"": ""freeGame Award?"", ""_fstc"": ""?"", ""_pcwc"": ""?"", ""hashr"": ""dt.si.hashr"", ""_hashr"": ""?"", ""maxWin"": ""dt.maxwm"", ""payout"": ""dt.si.np"", ""_maxWin"": ""最大中獎金額 int"", ""_payout"": ""派彩金額 int"", ""balance"": ""dt.bl"", ""betStep"": ""dt.cs"", ""lineWin"": ""dt.si.lw"", ""_balance"": ""餘額 int"", ""_betSteo"": ""押注大小Array<List>"", ""_lineWin"": ""中獎線Array<int lineNum:int winPay>"", ""freeGame"": ""dt.si.fs"", ""payoutID"": ""dt.si.psid"", ""totalBet"": ""dt.si.tb"", ""totalWin"": ""dt.si.tw"", ""_freeGame"": ""免費遊戲 Array<'aw':int award win,'s':int 剩餘次數,'ts':int 免費次數>"", ""_payoutID"": ""注單ID int"", ""_totalBet"": ""總下注金額 int"", ""_totalWin"": ""總中獎金額 int"", ""betNumber"": ""dt.si.cs"", ""timeStamp"": """", ""_betNumber"": ""下注金額 float"", ""_timeStamp"": ""細單紀錄時間 int "", ""balanceEnd"": ""dt.si.blab"", ""lineSymbol"": ""dt.si.wp"", ""maxBetLine"": ""dt.mxl"", ""winSymbols"": ""dt.ls.si.cpf"", ""_balanceEnd"": ""押注後餘額 int"", ""_lineSymbol"": ""中獎連線符號 Array<int:Array<List<int...>>"", ""_maxBetLine"": ""投注線 int"", ""_winSymbols"": ""中獎符號Array<array>"", ""betMultiply"": ""dt.si.ml"", ""priceSymbol"": ""dt.si.cpf"", ""_betMultiply"": ""押注倍數Array<List>"", ""_priceSymbol"": ""獎金符號, Array<int:<'p':cord<int>,'bv':<int>面額,'m':<float>>>"", ""balanceStart"": ""dt.si.blb"", ""detailListID"": ""dt.si.sid"", ""symbalPayout"": ""dt.si.rwsp"", ""_balanceStart"": ""押注前餘額 int"", ""_detailListID"": ""細單ID int"", ""_symbolPayout"": ""符號賠付值 int"", ""reelSymbolEnd"": ""dt.ls.si.rl"", ""winLineNumber"": """", ""_reelSymbolEnd"": ""reel結束符號Array<List>"", ""_winLineNumber"": ""中獎線數 int ,-1 > 無連線"", ""reelSymbolsStart"": ""dt.ls.si.orl"", ""_reelSymbolsStart"": ""reel起始符號Array<List>""}, ""searchKey"": ""PGSOFT_A00000"", ""walletURL"": [""web-api"", ""game-proxy"", ""version"", ""gamewallet"", ""get?traceid=?""], ""SpinDataURL"": [""game-api"", ""gameName"", ""version"", ""spin?traceid=?""], ""gameAuthURL"": [""web-api"", ""auth"", ""session"", ""version"", ""verifysession?traceid=?""], ""gameInfoURL"": [""game-api"", ""gameName"", ""version"", ""gameinfo"", ""get?traceid=?""], ""symbolsData"": [{""ID"": 7, ""desc"": ""紅蘿蔔"", ""payout"": 2}, {""ID"": 6, ""desc"": ""沖天炮"", ""payout"": 3}, {""ID"": 5, ""desc"": ""錢幣"", ""payout"": 5}, {""ID"": 4, ""desc"": ""紅包"", ""payout"": 10}, {""ID"": 3, ""desc"": ""寶袋"", ""payout"": 50}, {""ID"": 2, ""desc"": ""元寶"", ""payout"": 100}, {""ID"": 8, ""desc"": ""獎金"", ""payout"": 1, ""multipy"": ""面額""}, {""ID"": 0, ""desc"": ""百搭"", ""payout"": 200}, {""ID"": 99, ""desc"": ""empty"", ""payout"": 0}], ""gameProvider"": [""PGSOFT"", ""Pocket Games Soft"", ""PG 電子""], ""resourcesURL"": [""web-api"", ""game-proxy"", ""version"", ""resources"", ""getbyresourcestypeids?traceid=?""]}]}]","way game","dt","麻將胡了2 遊戲側錄","spacebar","{""aw"": ""INT"", ""bl"": ""FLOAT"", ""cs"": ""FLOAT"", ""fb"": ""JSONB"", ""fs"": ""JSONB"", ""ge"": ""JSONB"", ""iw"": ""INT"", ""lw"": ""JSONB"", ""ml"": ""INT"", ""mr"": ""INT"", ""np"": ""INT"", ""pf"": ""INT"", ""rl"": ""JSONB"", ""sn"": ""SERIAL PRIMARY KEY"", ""st"": ""INT"", ""tb"": ""INT"", ""tw"": ""INT"", ""wk"": ""VARCHAR(4096)"", ""wp"": ""INT"", ""wt"": ""VARCHAR(4096)"", ""blb"": ""FLOAT"", ""cpf"": ""JSONB"", ""ctw"": ""INT"", ""cwc"": ""INT"", ""gwt"": ""INT"", ""iff"": ""BOOL"", ""ift"": ""BOOL"", ""imw"": ""BOOL"", ""nst"": ""INT"", ""ocr"": ""INT"", ""orl"": ""JSONB"", ""pmt"": ""INT"", ""sid"": ""VARCHAR(4096)"", ""tbb"": ""INT"", ""wbn"": ""INT"", ""wfg"": ""INT"", ""wid"": ""INT"", ""blab"": ""FLOAT"", ""cptw"": ""INT"", ""crtw"": ""INT"", ""fstc"": ""JSONB"", ""pcwc"": ""INT"", ""psid"": ""VARCHAR(4096)"", ""rwsp"": ""JSONB"", ""hashr"": ""VARCHAR(4096)"", ""index"": ""INT NOT NULL"", ""dump_seed"": ""VARCHAR(4096)"", ""game_name"": ""VARCHAR(4096)"", ""timestamp"": ""TIMESTAMP DEFAULT CURRENT_TIMESTAMP"", ""full_state"": ""JSONB""}","tb_pg_mw2_v2_001","pg_mw2_v2_seed_00001"
